precision,recall
0.84397702635883,1.0
0.8439877269499949,1.0
0.843998427812504,1.0
0.8440091289463675,1.0
0.8440198303515957,1.0
0.844030532028199,1.0
0.8440412339761878,1.0
0.8440519361955723,1.0
0.8440626386863628,1.0
0.8440733414485697,1.0
0.8440840444822033,1.0
0.844094747787274,1.0
0.844105451363792,1.0
0.8441268593312115,1.0
0.8441375637221334,1.0
0.8441482683845442,1.0
0.8441696785238729,1.0
0.8441803840008116,1.0
0.8441910897492803,1.0
0.8442017957692893,1.0
0.844212502060849,1.0
0.8442232086239696,1.0
0.8442339154586614,1.0
0.844244622564935,1.0
0.8442553299428006,1.0
0.8442660375922685,1.0
0.844276745513349,1.0
0.8442874537060524,1.0
0.8442981621703892,1.0
0.8443088709063697,1.0
0.8443195799140041,1.0
0.8443302891933029,1.0
0.8443409987442763,1.0
0.8443624186612885,1.0
0.844373129027348,1.0
0.8443838396651233,1.0
0.8443945505746252,1.0
0.8444052617558636,1.0
0.8444159732088492,1.0
0.8444266849335921,1.0
0.8444481091983914,1.0
0.8444588217384685,1.0
0.8444695345503445,1.0
0.8444802476340294,1.0
0.8444909609895338,1.0
0.844501674616868,1.0
0.8445123885160423,1.0
0.8445231026870671,1.0
0.8445338171299527,1.0
0.8445445318447095,1.0
0.8445552468313478,1.0
0.844565962089878,1.0
0.8445766776203103,1.0
0.8445873934226553,1.0
0.8445981094969232,1.0
0.8446088258431244,1.0
0.8446195424612691,1.0
0.8446302593513678,1.0
0.8446624116534913,1.0
0.8446731296315095,1.0
0.8446838478815334,1.0
0.8446945664035733,1.0
0.8447052851976398,1.0
0.8447160042637429,1.0
0.8447267236018934,1.0
0.8447374432121012,1.0
0.844748163094377,1.0
0.8447588832487309,1.0
0.8447696036751735,1.0
0.8447803243737151,1.0
0.8447910453443659,1.0
0.8448017665871363,1.0
0.8448124881020369,1.0
0.8448232098890779,1.0
0.8448660997588526,1.0
0.8448768229067509,1.0
0.8448875463268518,1.0
0.8448982700191656,1.0
0.8449089939837027,1.0
0.8449197182204734,1.0
0.8449304427294883,1.0
0.8449411675107574,1.0
0.8449518925642914,1.0
0.8449626178901004,1.0
0.844973343488195,1.0
0.8449840693585854,1.0
0.8449947955012821,1.0
0.8450055219162954,1.0
0.8450162486036357,1.0
0.8450269755633132,1.0
0.8450377027953385,1.0
0.845048430299722,1.0
0.8450591580764739,1.0
0.8450698861256046,1.0
0.8450806144471246,1.0
0.845091343041044,1.0
0.8451020719073735,1.0
0.8451128010461234,1.0
0.8451235304573039,1.0
0.8451342601409255,1.0
0.8451449900969986,1.0
0.8451557203255335,1.0
0.8451664508265407,1.0
0.8451771816000305,1.0
0.8451879126460132,1.0
0.8451986439644993,1.0
0.8452308395550815,1.0
0.8452415719636849,1.0
0.8452523046448435,1.0
0.8452630375985677,1.0
0.845273770824868,1.0
0.8452845043237546,1.0
0.8452952380952381,1.0
0.8453059721393288,1.0
0.845316706456037,1.0
0.8453274410453732,1.0
0.8453381759073477,1.0
0.845348911041971,1.0
0.8453596464492533,1.0
0.8453703821292051,1.0
0.8453811180818369,1.0
0.8453918543071589,1.0
0.8454025908051817,1.0
0.8454133275759154,1.0
0.8454348019355576,1.0
0.8454455395244869,1.0
0.8454670155206138,1.0
0.8454777539278321,1.0
0.8454884926078342,1.0
0.8455099707862315,1.0
0.8455207102846474,1.0
0.8455314500558886,1.0
0.8455421900999657,1.0
0.845552930416889,1.0
0.8455636710066687,1.0
0.8455744118693156,1.0
